METHOD,IDENTIFIER,RESULT,DURATION_SECONDS,SCORE,THRESHOLD
AUDIO,full_1,ĐÚNG,36.467,87,85
AUDIO,full_2,ĐÚNG,26.347,90,85
AUDIO,full_3,ĐÚNG,43.866,89,85
AUDIO,full_4,ĐÚNG,29.766,89,85
AUDIO,full_5,ĐÚNG,17.289,93,85
AUDIO,full_6,ĐÚNG,36.355,89,85
AUDIO,full_7,ĐÚNG,44.199,90,85
AUDIO,full_8,ĐÚNG,25.571,88,85
AUDIO,full_9,ĐÚNG,51.859,91,85
AUDIO,full_10,ĐÚNG,31.588,92,85
AUDIO,full_11,ĐÚNG,10.903,89,85
AUDIO,full_12,ĐÚNG,26.733,87,85
AUDIO,full_13,ĐÚNG,30.908,91,85
AUDIO,full_14,ĐÚNG,26.318,92,85
AUDIO,full_15,ĐÚNG,27.376,90,85
AUDIO,full_16,ĐÚNG,73.235,88,85
AUDIO,full_17,ĐÚNG,28.399,93,85
AUDIO,full_18,ĐÚNG,30.853,91,85
AUDIO,full_19,ĐÚNG,13.329,92,85
AUDIO,full_20,ĐÚNG,22.809,88,85
AUDIO,full_21,ĐÚNG,32.204,89,85
AUDIO,full_22,ĐÚNG,13.936,88,85
AUDIO,full_23,ĐÚNG,32.032,87,85
AUDIO,full_24,ĐÚNG,27.198,93,85
AUDIO,full_25,ĐÚNG,36.65,92,85
AUDIO,full_26,ĐÚNG,12.135,89,85
AUDIO,full_27,ĐÚNG,18.155,89,85
AUDIO,full_28,ĐÚNG,20.928,89,85
AUDIO,full_29,ĐÚNG,12.405,90,85
AUDIO,full_30,ĐÚNG,15.821,92,85
AUDIO,full_31,ĐÚNG,31.112,88,85
,,,,89.83870968,85
