METHOD,IDENTIFIER,RESULT,DURATION_SECONDS,SCORE,THRESHOLD
VIDEO_LOCAL,full_1,ĐÚNG,109.047,83,75
VIDEO_LOCAL,full_2,ĐÚNG,91.902,89,75
VIDEO_LOCAL,full_3,ĐÚNG,150.691,90,75
VIDEO_LOCAL,full_4,ĐÚNG,103.414,87,75
VIDEO_LOCAL,full_5,ĐÚNG,84.333,90,75
VIDEO_LOCAL,full_6,ĐÚNG,165.877,89,75
VIDEO_LOCAL,full_7,SAI,241.14,66,75
VIDEO_LOCAL,full_8,ĐÚNG,246.094,87,75
VIDEO_LOCAL,full_9,ĐÚNG,137.319,77,75
VIDEO_LOCAL,full_10,ĐÚNG,99.797,89,75
VIDEO_LOCAL,full_12,ĐÚNG,164.504,77,75
VIDEO_LOCAL,full_14,SAI,143.409,44,75
VIDEO_LOCAL,full_16,ĐÚNG,98.089,83,75
VIDEO_LOCAL,full_17,ĐÚNG,162.856,89,75
VIDEO_LOCAL,full_18,ĐÚNG,131.748,89,75
VIDEO_LOCAL,full_19,ĐÚNG,173.51,89,75
VIDEO_LOCAL,full_21,ĐÚNG,132.682,84,75
VIDEO_LOCAL,full_22,ĐÚNG,164.243,91,75
VIDEO_LOCAL,full_23,ĐÚNG,52.646,90,75
VIDEO_LOCAL,full_24,ĐÚNG,159.844,86,75
VIDEO_LOCAL,full_25,ĐÚNG,71.46,86,75
VIDEO_LOCAL,full_26,ĐÚNG,197.104,77,75
VIDEO_LOCAL,full_28,SAI,187.965,45,75
VIDEO_LOCAL,full_29,ĐÚNG,158.697,88,75
VIDEO_LOCAL,full_30,ĐÚNG,38.926,88,75
VIDEO_LOCAL,full_31,ĐÚNG,198.51,88,75
VIDEO_LOCAL,full_32,ĐÚNG,170.026,86,75
VIDEO_LOCAL,full_33,ĐÚNG,141.751,88,75
VIDEO_LOCAL,full_34,ĐÚNG,209.19,77,75
VIDEO_LOCAL,full_35,ĐÚNG,229.395,77,75
,,,,82.3,75
